iter	Passed	Remaining
0	3	2918
1	6	2668
2	9	2635
3	12	2589
4	15	2556
5	17	2485
6	20	2442
7	22	2402
8	25	2351
9	27	2321
10	30	2317
11	32	2302
12	35	2282
13	37	2263
14	39	2233
15	42	2220
16	44	2212
17	47	2199
18	49	2181
19	52	2167
20	54	2171
21	57	2158
22	59	2145
23	62	2142
24	64	2133
25	66	2128
26	69	2120
27	71	2111
28	73	2100
29	76	2097
30	78	2092
31	81	2089
32	83	2083
33	86	2074
34	88	2067
35	91	2071
36	94	2081
37	98	2101
38	101	2109
39	104	2124
40	107	2127
41	111	2143
42	113	2142
43	115	2119
44	117	2111
45	120	2109
46	121	2089
47	124	2082
48	126	2079
49	129	2077
50	131	2072
51	134	2067
52	136	2065
53	139	2060
54	141	2056
55	143	2047
56	145	2038
57	148	2030
58	150	2022
59	152	2017
60	155	2014
61	157	2009
62	159	2005
63	162	2000
64	164	1994
65	167	1991
66	169	1986
67	171	1981
68	174	1977
69	176	1974
70	178	1970
71	181	1971
72	184	1968
73	186	1965
74	189	1963
75	191	1958
76	193	1955
77	196	1952
78	198	1949
79	201	1943
80	203	1938
81	205	1934
82	208	1930
83	210	1927
84	212	1923
85	215	1919
86	217	1914
87	219	1908
88	221	1903
89	223	1898
90	226	1893
91	228	1888
92	230	1884
93	232	1878
94	234	1872
95	236	1868
96	239	1862
97	241	1857
98	243	1853
99	245	1847
100	247	1842
101	249	1837
102	251	1832
103	253	1827
104	256	1824
105	258	1820
106	260	1816
107	262	1813
108	265	1811
109	267	1808
110	270	1811
111	273	1808
112	276	1809
113	278	1805
114	280	1802
115	283	1800
116	285	1798
117	288	1796
118	291	1795
119	293	1794
120	296	1794
121	299	1795
122	302	1794
123	304	1792
124	307	1789
125	309	1787
126	311	1782
127	314	1781
128	317	1780
129	319	1777
130	321	1773
131	324	1772
132	326	1769
133	328	1764
134	331	1762
135	333	1758
136	335	1754
137	338	1752
138	340	1748
139	342	1744
140	344	1740
141	346	1736
142	348	1732
143	351	1729
144	353	1724
145	355	1722
146	358	1719
147	360	1715
148	362	1712
149	364	1709
150	366	1706
151	369	1703
152	371	1700
153	374	1697
154	376	1696
155	379	1694
156	382	1697
157	386	1699
158	389	1700
159	393	1705
160	397	1709
161	401	1712
162	404	1713
163	407	1712
164	410	1710
165	413	1709
166	415	1707
167	418	1705
168	420	1703
169	424	1704
170	426	1701
171	429	1699
